rank,name,id,bubble,reviewCount,priceRange,claimed,travelers,photos,thefork,justeat,cuisines,diets,meals,features,neigh,excellent,verygood,average,poor,terrible,revEnglish,revSpanish
206,Alright,d7239164,4.5,1701,$$ - $$$,True,False,765,False,False,American,"Vegetarian Friendly, Gluten Free Options","Lunch, Dinner",,La Paz,78,10,2,1,1,92,1575
207,DiverXO,d7179537,4.5,2161,$$$$,True,True,4741,False,False,"European, Spanish, Fusion",Gluten Free Options,"Lunch, Dinner","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa",Chamartin,154,20,11,4,10,199,1863
208,Tacoctelería,d21505471,5.0,118,$$ - $$$,True,True,108,True,True,"Mexican, Latin, Healthy, Central American, Dining bars",,"Lunch, Dinner, Brunch, Late Night, Drinks",,Universidad,19,3,1,0,0,23,84
209,Burnout,d11953286,4.5,1244,$$ - $$$,True,True,740,True,True,"American, International",Gluten Free Options,,,Universidad,132,14,3,1,0,150,914
210,Mano De Santa,d23391409,4.5,181,$$$$,True,True,328,True,False,"International, Spanish, Mediterranean, European, Healthy, Grill",,"Lunch, Dinner, Drinks",,Salamanca (District),17,3,0,0,0,20,144
211,Alcaravea Gaztambide,d3544145,4.5,605,$$ - $$$,True,False,238,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Chamberi,43,9,1,0,0,53,531
212,Proverbium,d4271106,4.5,302,$$ - $$$,True,False,119,False,False,"Italian, Mediterranean, Neapolitan, Campania, Tuscan, Sicilian, Central-Italian, Southern-Italian, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",,,4,0,0,0,0,4,294
213,Decadente,d13233802,4.5,526,$$ - $$$,True,True,412,False,False,"International, Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Huertas,53,8,3,5,1,70,401
214,Gato Gato,d13239361,4.5,136,$$ - $$$,True,False,138,True,False,"Spanish, Mediterranean, European, Healthy, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Embajadores,40,5,0,0,0,45,55
215,Pajaritos Mojados,d7284434,4.5,333,$,True,False,137,False,False,"Bar, Gastropub, Street Food","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Centro,41,10,1,1,0,53,232
216,Roost Chicken - Atocha,d25381112,5.0,63,$$ - $$$,True,False,38,False,False,"American, Fast Food",,"Lunch, Dinner, Drinks",,0.3 miles from Prado National Museum,23,0,0,1,0,24,38
217,Vinos de Bellota,d3530204,4.5,884,$$ - $$$,True,False,576,False,False,"Contemporary, Mediterranean, European, Spanish, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Retiro,117,35,3,1,1,157,609
218,Tinto y Tapas,d12500357,4.5,1630,$,True,True,917,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,Huertas,405,119,32,6,4,566,434
219,The Spanish Farm,d10077266,4.5,507,$$ - $$$,True,True,328,False,False,Spanish,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Drinks,"Accepts Credit Cards, Dog Friendly",Paseo del Prado,206,34,7,0,3,250,113
